CATID;BREEDGROUP;SEX;AGE_BEHAVIOUR;OTHER_CATS;problematic_behavior;seeks_physical_contact_people;Opens_doors;Rests _in_secure_places;Reacts_to_video_TV;Refuses_litter_box_dirty;Freezes_examined_veterinarian;Seems_confident;comfortable_social_gatherings;easily_scared_things_sounds ;Defecates_inappropriate_places;Unexpectedly_scratches _bites;greets_unfamiliar_children;Enjoys_tearing_cardboard;Runs_ hides_noise_inside;Runs_hide_noise_outside;Asks_in_out_ rooms;Freezes_nothing visible;Tries_wake_up;exhibits_bursts_running;Talks_to_people;increased_activity_morning;destroys_left_alone;Reacts_catnip;Chases_animals;purrs_petted;scratch_bite_human_possession_prey;comfortable_familiar_children;Growls_hisses_familiar_cat_staring;scratch_bite_familiar_dogs;Growls_hisses_examined_veterinarian;Growls_hisses_unfamiliar_dogs;lie_things_used_people;excited_new_toys;Runs_while_playing;Greets_unfamiliar_cats;Growls_hisses_familiar_dogs;restlessness_home_modified;eats_house_plants;eye_contact_familiar_people;Scratches_inappropriate_objects;scratch_bite_petted_base_tail;hallway_household_leave;not_want_use_same_litter_box;wrong_targeted_aggression;Enjoys_jumping_high;restlessness_member_household_affection_person;Gets_excite_small_animals_window;scratch_bite_petted_belly;Carries_toy;listens_everything_you_say;playing_chases_household_members;Growls_hisses_nails_clipped;Growls_hisses_medicine_familiar;Chases_imaginary_objects;scratch_bite_bathed;Growls_ hisses_bathed;increased_activity_evening;Runs_unfamiliar_cats;scratch_bite_brushed;Reacts_similarly_situations;Stares_unfamiliar_people;self_mutilation;investigates_new_objects;Growls_hisses_approached_familiar_cat_while_eating;scratch_bite_unfamiliar_dogs;restlessness_other_cats_fight;excessive_ grooming;restlessness_unfamiliar_objects;Plays_fetch;Gets_along _with_cats;Seeks_company_other_cats;baby_cry_check;Growls_hisses_brushed;Chase_tail;scratch_bite_examined_veterinarian;Rests_warm_appliances;scratch_bite_nails_clipped;greets_kittens;Moves_elegantly;scratch_bite _medicine_familiar_person;Hides_household_member_leave;Urinates_inappropriate;Escapes_unfamiliar_people;Is_persevering;Stalks_moving_objects;meowing _left_alone;Sprays_indoors;adapts_changes;Squirms_picked_ held_arms;Brings_prey_animals;Enjoys_playing_cats;Runs_unfamiliar_dogs;waiting_household_member_arrives;sudden_licking_chewing_body;Comes_called;Escapes_threatened_familiar_cat;Chews_cables;Reacts_different_events_vocalizing;scratch_bite_familiar_cat_hissing;Growls_hisses_petted_tail;Chews_plastics;Growls_hisses_unfamiliar_person_pet;Growls_hisses_unfamiliar_children;Chase_shadows;escape_home;comfortable_petted_unfamiliar_people;greets_unfamiliar_adults;Active;Prefers_types_cat_litter;restlessness_member_household_affection_another_pet;Seeks_physical_contact_other_cats;Growls_hisses_approached_familiar_cat_resting;Friendly_unfamiliar_dogs;Growls_hisses_approached_human_possession_of_prey;finds_new_ways_get_attention;learns_associate_things;Concentration_not_disturbed;Sucks_chews_fabrics;Growls_hisses_unfamiliar_adults;Purrs_sitting_lap;Chases_bite_moving_legs;not_recognize_familiar_cat_if_smells_odd;Kneads_objects;Squirms_picked_to_lap;substrate_preference_inappro;interactive_play_people;Repeats_meaningless_movements;comfortable_playing _unfamiliar_people;Walks_tail_upright;not_approach_people_right_away;Rests_elevated_places;comfortable_unfamiliar_places;responds_commands;Picky;Asks_food;restlessness_household_member_leave;exited_other_pets;Human_oriented;fearfulness;human_aggression;activity_playfulness;cat_sociability;human_sociability;litterbox_issues;excessive_grooming
2526;Landrace_Cat_Shorthair;Female;3,101984942;YES;No;4;1;1;4;1;4;4;1;4;1;1;1;1;4;4;1;1;1;4;1;2;1;;5;5;1;1;1;4;1;5;1;4;2;;4;1;5;5;1;1;1;1;1;5;1;5;1;1;5;1;1;1;1;;;2;2;1;5;5;1;5;1;5;;1;1;1;5;5;;1;1;1;1;1;;2;1;1;1;1;1;5;1;1;5;4;4;5;5;4;1;5;5;1;1;1;1;1;1;1;1;1;1;1;2;5;1;5;1;2;1;4;5;;1;1;5;1;1;5;4;;1;1;1;4;5;5;;;1;4;1;;3;1,182746337;-0,900285605;-1,012431953;0,945163265;-1,34284052;-0,55552853;-0,669267362
2527;House_cat;Female;8,808871851;YES;A_little;4;4;4;4;1;2;4;2;2;1;2;;1;4;2;4;4;4;4;4;1;2;4;5;4;1;;2;2;1;2;2;4;4;2;4;2;4;4;2;2;1;1;1;4;1;5;2;5;2;2;1;2;5;4;4;4;4;1;4;4;1;4;1;2;4;5;2;5;4;2;;1;1;1;5;1;;4;2;1;1;2;4;5;1;1;4;4;;4;4;2;4;4;2;1;4;4;2;1;2;;5;4;4;2;2;1;1;4;4;2;1;2;5;;1;1;5;1;1;4;4;;5;1;2;5;4;4;1;4;1;5;1;;4;0,806284214;0,589909665;0,295194798;-1,11561815;-0,908586124;-0,300150115;4,043700063
2528;Landrace_Cat_Shorthair;Female;12,77879914;YES;A_little;5;5;4;4;4;2;5;2;2;4;4;3;2;3;3;5;4;3;5;5;2;1;5;5;5;5;2;5;5;2;5;5;5;5;2;5;1;;4;2;4;5;4;;5;;5;4;4;5;4;4;1;4;1;1;4;2;1;5;4;1;5;4;5;5;1;1;4;2;2;;1;4;2;4;4;3;4;1;1;4;1;5;5;;1;4;1;;2;2;5;4;4;4;1;4;5;4;1;2;4;5;5;2;4;4;5;;3;4;1;5;5;5;;1;4;5;1;1;4;2;4;5;3;2;5;1;5;4;;2;5;3;5;5;0,46186107;3,306392885;1,62877239;-3,674818797;-0,016569703;3,954826791;1,323417826
2529;House_cat;Female;0,926027397;NO;A_lot;5;3;5;5;4;1;5;2;4;2;1;5;4;4;4;5;5;3;5;5;3;2;3;4;4;2;;1;;1;;5;5;5;;;2;2;5;5;1;4;2;1;4;4;5;1;5;4;3;;5;5;5;5;5;;2;1;2;1;4;1;;1;1;2;3;5;5;;1;2;1;2;;;5;;2;4;4;5;5;4;1;5;2;;5;;5;;4;;4;5;1;2;5;1;;5;4;5;4;5;5;3;5;1;;1;5;5;2;;1;5;1;;5;4;5;5;2;5;5;2;4;;3;4;5;4;;5;0,232807825;0,746634596;1,218443141;0,835437982;2,223429704;2,462481774;0,609540196
2530;House_cat;Female;unknown;YES;A_little;5;5;1;1;5;4;5;5;2;5;1;3;5;2;1;5;4;5;4;5;4;1;2;4;4;1;4;4;2;5;2;5;1;2;;2;2;5;5;1;1;4;1;;2;1;5;3;5;4;2;1;;1;4;4;2;1;4;5;2;1;5;1;1;;1;1;5;5;2;5;2;4;5;2;1;;5;2;1;1;1;2;4;;1;5;2;;2;1;5;1;5;;1;2;2;1;5;1;1;4;2;4;5;1;4;1;1;4;4;1;2;5;;1;1;5;1;4;5;1;5;4;1;5;5;2;1;4;;5;5;4;;5;-1,083760434;0,615858277;-1,4422403;-1,748294267;1,226182173;1,459669106;-0,559447929
2531;Landrace_Cat_Shorthair;Female;16,32919955;YES;A_little;5;4;2;5;4;2;5;4;1;1;1;5;2;2;2;4;4;5;5;5;4;1;5;2;2;1;5;2;3;1;4;5;4;5;3;3;1;4;5;3;1;3;1;1;5;1;4;1;2;4;5;1;1;5;5;1;4;3;1;4;2;1;5;1;1;3;1;1;1;5;4;2;1;1;1;5;1;3;5;1;1;2;1;5;5;1;1;4;2;;4;4;5;1;4;2;1;5;4;1;1;1;1;4;1;5;5;2;4;4;4;1;3;2;5;5;3;1;1;5;1;1;4;4;5;2;2;5;4;2;2;;4;2;5;4;;3;-1,056910442;-0,419864234;0,563135506;0,532527183;0,482798857;0,208240873;-0,124736444
2532;Bengal;Female;2,282846715;NO;Some;1;5;5;2;4;1;5;2;4;1;5;4;5;4;4;5;5;1;5;5;4;1;2;5;4;2;4;;2;1;2;5;2;5;;1;1;4;4;1;2;5;;;5;1;5;5;4;4;5;1;1;2;2;1;4;;4;4;4;1;5;;;;1;1;2;;;;1;2;1;4;4;;5;2;1;1;1;5;5;;1;5;5;;;2;5;1;5;;1;5;;1;1;1;1;4;5;2;5;5;5;;;;4;1;2;4;2;1;1;;2;;1;5;4;1;4;5;5;4;5;5;5;5;1;4;;;-0,238966198;0,919901014;0,962748016;0,338995722;-0,867171194;-0,162858764;-0,701801434
2533;Landrace_Cat_Longhair;Female;13,9211391;unknown;unknown;5;4;2;3;3;2;5;4;1;1;1;2;1;3;2;5;1;2;4;5;1;1;3;5;5;1;5;5;5;3;5;5;3;5;2;3;1;4;5;1;3;5;;3;4;1;5;3;2;4;2;1;1;1;1;1;4;1;1;5;1;1;5;1;5;;1;1;2;;;1;1;1;2;5;1;;4;1;1;1;1;1;4;1;1;4;1;4;;2;4;1;5;;1;5;;2;1;2;2;3;1;4;2;3;1;1;;;2;1;2;5;5;1;1;5;2;;1;1;;2;1;5;5;1;5;4;5;1;5;4;;5;-0,440357527;0,475610382;-0,189163173;-0,741466459;0,579934098;-0,387703084;-0,587863036
2534;Turkish_Van;Female;8,170620438;unknown;unknown;5;2;2;4;2;4;5;5;2;1;2;4;4;2;2;4;2;4;4;4;2;2;4;4;5;2;4;3;;1;2;4;4;4;;;1;4;4;4;1;4;1;;4;1;4;1;2;5;3;1;1;2;1;1;3;1;1;4;4;1;5;1;3;4;1;1;1;4;4;;1;1;1;5;1;;5;1;3;1;1;5;4;1;1;5;1;;4;2;4;2;4;2;4;4;3;1;5;1;1;5;4;5;5;4;3;1;4;2;4;1;4;5;;1;1;5;1;5;5;2;;4;2;4;5;1;4;5;;4;2;2;;5;-0,802096662;-0,499565449;-0,367055784;-0,535773553;0,585173478;-0,435350611;0,041207735
2535;European;Female;0,575342466;YES;No;5;1;1;5;1;1;5;5;1;1;1;;1;3;3;3;1;3;3;5;3;1;5;;5;;;1;;1;;5;5;5;5;;1;1;5;1;1;5;1;1;5;1;5;1;5;5;3;1;1;1;;;3;;1;5;3;1;5;1;;3;1;1;5;5;5;;1;1;1;5;1;;5;1;1;1;1;5;5;1;1;1;1;;5;;5;1;5;3;1;3;1;1;1;1;;5;;5;5;5;;1;5;1;;1;5;5;;1;1;5;1;;3;1;1;5;1;5;5;1;5;5;;1;5;1;;3;-0,995801629;-0,805623746;1,065818292;0,847432447;0,337089641;-0,881200236;-0,630230381
