CATID;BREEDGROUP;SEX;AGE_BEHAVIOUR;OTHER_CATS;problematic_behavior;seeks_physical_contact_people;Opens_doors;Rests _in_secure_places;Reacts_to_video_TV;Refuses_litter_box_dirty;Freezes_examined_veterinarian;Seems_confident;comfortable_social_gatherings;easily_scared_things_sounds ;Defecates_inappropriate_places;Unexpectedly_scratches _bites;greets_unfamiliar_children;Enjoys_tearing_cardboard;Runs_ hides_noise_inside;Runs_hide_noise_outside;Asks_in_out_ rooms;Freezes_nothing visible;Tries_wake_up;exhibits_bursts_running;Talks_to_people;increased_activity_morning;destroys_left_alone;Reacts_catnip;Chases_animals;purrs_petted;scratch_bite_human_possession_prey;comfortable_familiar_children;Growls_hisses_familiar_cat_staring;scratch_bite_familiar_dogs;Growls_hisses_examined_veterinarian;Growls_hisses_unfamiliar_dogs;lie_things_used_people;excited_new_toys;Runs_while_playing;Greets_unfamiliar_cats;Growls_hisses_familiar_dogs;restlessness_home_modified;eats_house_plants;eye_contact_familiar_people;Scratches_inappropriate_objects;scratch_bite_petted_base_tail;hallway_household_leave;not_want_use_same_litter_box;wrong_targeted_aggression;Enjoys_jumping_high;restlessness_member_household_affection_person;Gets_excite_small_animals_window;scratch_bite_petted_belly;Carries_toy;listens_everything_you_say;playing_chases_household_members;Growls_hisses_nails_clipped;Growls_hisses_medicine_familiar;Chases_imaginary_objects;scratch_bite_bathed;Growls_ hisses_bathed;increased_activity_evening;Runs_unfamiliar_cats;scratch_bite_brushed;Reacts_similarly_situations;Stares_unfamiliar_people;self_mutilation;investigates_new_objects;Growls_hisses_approached_familiar_cat_while_eating;scratch_bite_unfamiliar_dogs;restlessness_other_cats_fight;excessive_ grooming;restlessness_unfamiliar_objects;Plays_fetch;Gets_along _with_cats;Seeks_company_other_cats;baby_cry_check;Growls_hisses_brushed;Chase_tail;scratch_bite_examined_veterinarian;Rests_warm_appliances;scratch_bite_nails_clipped;greets_kittens;Moves_elegantly;scratch_bite _medicine_familiar_person;Hides_household_member_leave;Urinates_inappropriate;Escapes_unfamiliar_people;Is_persevering;Stalks_moving_objects;meowing _left_alone;Sprays_indoors;adapts_changes;Squirms_picked_ held_arms;Brings_prey_animals;Enjoys_playing_cats;Runs_unfamiliar_dogs;waiting_household_member_arrives;sudden_licking_chewing_body;Comes_called;Escapes_threatened_familiar_cat;Chews_cables;Reacts_different_events_vocalizing;scratch_bite_familiar_cat_hissing;Growls_hisses_petted_tail;Chews_plastics;Growls_hisses_unfamiliar_person_pet;Growls_hisses_unfamiliar_children;Chase_shadows;escape_home;comfortable_petted_unfamiliar_people;greets_unfamiliar_adults;Active;Prefers_types_cat_litter;restlessness_member_household_affection_another_pet;Seeks_physical_contact_other_cats;Growls_hisses_approached_familiar_cat_resting;Friendly_unfamiliar_dogs;Growls_hisses_approached_human_possession_of_prey;finds_new_ways_get_attention;learns_associate_things;Concentration_not_disturbed;Sucks_chews_fabrics;Growls_hisses_unfamiliar_adults;Purrs_sitting_lap;Chases_bite_moving_legs;not_recognize_familiar_cat_if_smells_odd;Kneads_objects;Squirms_picked_to_lap;substrate_preference_inappro;interactive_play_people;Repeats_meaningless_movements;comfortable_playing _unfamiliar_people;Walks_tail_upright;not_approach_people_right_away;Rests_elevated_places;comfortable_unfamiliar_places;responds_commands;Picky;Asks_food;restlessness_household_member_leave;exited_other_pets;Human_oriented;fearfulness;human_aggression;activity_playfulness;cat_sociability;human_sociability;litterbox_issues;excessive_grooming
1;Siberian_and_Neva_Masquerade;Female;5,079872204;unknown;unknown;5;5;3;5;4;5;5;3;2;1;1;4;3;4;2;5;3;5;4;5;4;1;5;5;5;1;5;1;;1;;5;4;4;5;;2;4;5;4;1;5;1;2;5;1;5;1;5;4;4;1;1;3;4;1;4;1;1;4;4;1;5;1;;2;1;1;5;5;4;;1;1;1;5;4;;5;1;1;1;2;4;5;4;1;5;1;;2;;5;1;4;;1;1;2;1;1;1;1;5;2;4;4;2;2;1;5;1;;1;3;5;;1;1;5;1;2;5;1;;;1;5;5;1;3;2;;3;5;4;;5;-0,592535855;-0,376838532;0,677554498;0,247060591;1,318159592;-0,370579892;-0,329714164
2;Sphynx_and_Devon_Rex;Female;4,225506294;unknown;unknown;5;5;5;2;1;5;4;5;2;1;1;;;1;1;5;2;1;4;1;1;1;1;2;2;1;;1;1;5;2;5;1;5;1;2;3;4;5;2;1;4;1;1;4;1;2;1;1;5;4;4;1;1;3;3;4;1;3;5;2;1;5;1;2;;1;1;5;4;4;;;1;5;5;1;;4;1;1;1;1;4;4;1;1;5;4;;4;1;4;4;4;4;1;1;4;1;1;4;;4;1;1;4;2;1;1;4;4;3;1;4;5;2;1;4;5;1;3;5;4;;4;;;4;4;4;1;5;1;5;1;;4;0,961022037;1,890785811;-0,585892552;-1,31907745;-1,185782329;-0,758987462;0,986190805
3;Oriental;Female;7,419575633;NO;A_little;5;5;4;4;4;2;4;4;1;1;1;5;2;4;2;5;1;1;4;5;2;1;4;4;5;1;5;2;1;2;1;4;5;4;5;1;1;5;5;2;1;5;;1;5;2;4;1;5;5;4;1;2;1;1;2;4;2;1;5;1;1;5;;1;;1;1;5;;;;1;1;2;4;1;;5;2;1;1;2;4;5;4;1;5;2;;;4;5;1;5;;1;5;;1;1;1;1;4;2;5;5;4;1;2;;;4;1;4;3;;1;1;5;1;;4;2;4;5;1;5;5;4;4;3;;4;5;5;;;-0,48003798;-0,288478537;0,583599898;0,1834663;1,313597761;-0,127346636;-0,009533091
4;Sphynx_and_Devon_Rex;Female;2;YES;No;5;4;4;5;2;1;5;5;2;1;1;4;1;2;2;2;5;5;5;5;5;1;4;5;5;1;5;1;;1;;4;4;5;;;2;;5;4;1;4;1;1;5;2;5;1;5;4;2;1;1;5;1;1;5;;;4;3;1;5;1;;2;1;2;5;5;5;;1;1;1;5;1;;5;1;1;1;1;4;5;1;1;4;1;;5;;5;1;4;2;1;3;2;1;1;1;2;5;2;5;5;5;1;2;5;1;;1;5;5;;1;1;5;1;1;3;1;;5;1;5;5;2;5;5;;4;4;1;;3;-0,876062946;-0,696218261;1,255441754;0,899893583;0,475639017;-0,514913155;-0,259346702
5;House_cat;Female;3,535049288;YES;A_little;5;1;4;1;5;1;5;;1;5;1;;1;1;1;2;5;1;5;3;1;1;4;;5;1;;3;1;1;1;5;4;5;;1;1;5;5;1;1;4;5;1;5;;5;1;4;5;1;1;1;4;1;1;3;;1;4;3;1;5;2;1;2;1;1;2;5;4;;1;1;1;4;1;;5;1;1;1;1;4;4;1;1;5;1;;4;3;4;1;5;3;1;1;1;1;4;1;;2;2;5;5;4;3;1;4;1;5;1;5;2;2;1;1;5;1;;5;1;5;2;1;4;5;2;5;4;3;1;2;1;;3;-0,746316221;-0,619939655;-0,578863964;-0,337497461;-0,333069701;3,084435142;-0,113738586
6;European;Female;0,663013699;YES;No;5;1;2;4;1;2;5;2;1;1;1;;2;2;1;5;1;2;4;5;3;2;;4;5;1;;1;;1;;4;5;5;4;;1;2;2;2;1;2;1;1;4;1;5;1;5;4;4;1;1;1;;;4;;1;4;2;1;5;1;;2;1;1;1;5;5;;1;1;1;4;1;;4;1;1;1;2;2;5;1;1;5;1;;5;;4;1;1;4;1;4;1;1;1;1;1;5;2;2;2;5;1;1;5;1;;1;4;4;;1;1;5;1;1;2;2;;4;1;4;5;4;2;2;;5;5;1;;4;0,37926201;-0,812641749;0,343482629;0,722727086;-0,502684074;-1,142006926;-0,659039585
7;Bengal;Female;13,2061009;NO;A_lot;2;2;5;5;4;4;2;1;5;2;2;1;5;5;5;5;4;4;5;4;1;2;5;4;2;1;1;1;;2;;4;2;4;4;;4;5;2;5;2;4;2;1;5;1;2;1;4;2;2;2;2;2;4;4;5;2;1;4;4;2;1;1;;1;2;4;4;4;4;;1;4;2;5;4;;5;4;5;5;5;2;4;1;2;2;5;;4;;2;1;1;;4;2;2;2;1;1;;4;5;1;1;4;5;1;5;1;;1;2;2;;1;1;5;1;1;5;5;5;4;1;1;2;4;5;1;1;5;5;1;;1;2,831126961;1,454685838;-1,134144668;0,955988092;-1,917537816;3,564773284;2,186919563
8;Siamese_and_Balinese;Female;0,349726776;NO;No;5;4;5;5;4;1;5;5;2;1;1;5;5;2;4;1;1;4;5;5;5;1;5;5;5;1;;2;;1;;5;5;5;5;;1;4;5;2;1;5;4;4;5;2;5;1;4;5;5;1;1;1;1;1;4;;1;4;4;1;5;1;;4;1;1;5;5;5;4;1;4;1;5;1;5;5;1;1;1;1;4;5;1;1;5;1;;5;;5;1;5;4;1;2;1;1;1;1;;5;1;5;5;5;4;2;5;1;;1;5;5;;1;1;5;1;4;1;1;;5;1;5;4;1;5;5;;2;1;1;5;5;-1,008218715;-0,673436423;1,421479518;0,34164396;0,850675393;0,910663132;-0,338755237
9;Bengal;Female;2,077554745;YES;A_little;5;4;3;4;1;4;5;4;2;1;3;;5;1;1;4;1;1;5;3;2;1;4;4;3;1;;2;;1;;4;5;5;;;1;4;5;1;1;2;1;1;5;2;4;1;3;4;3;1;1;1;5;4;3;1;1;4;4;1;5;1;;4;1;1;1;5;4;;;4;1;;4;;5;4;1;4;1;5;5;1;4;5;3;;4;;4;1;2;5;2;2;4;1;1;1;;5;3;5;4;5;5;1;5;1;;1;5;5;;1;1;4;5;4;3;4;5;3;2;5;4;2;5;2;;1;5;1;;4;-0,953591656;1,042432522;1,12055552;0,653829701;-0,984239084;1,912938831;-0,333296569
10;Siamese_and_Balinese;Female;3,178644764;YES;No;5;2;3;5;4;4;5;4;2;1;1;4;4;2;4;1;3;1;1;5;4;1;3;4;5;1;4;4;;1;;4;5;4;1;;1;4;5;2;1;5;1;1;5;1;4;1;4;5;3;1;1;1;4;4;3;1;1;5;4;1;4;1;;4;1;1;4;5;5;4;1;1;1;5;1;;5;1;1;1;1;1;4;1;1;5;1;1;4;;5;1;5;4;1;4;2;1;1;1;1;4;1;4;5;2;4;1;5;1;;1;2;4;;1;1;5;1;1;1;4;1;4;1;4;4;1;4;4;4;4;1;1;4;4;-0,816127014;-0,855875337;-0,276732366;0,507462619;0,366095317;-0,236425875;-0,610978147
12;Burmese;Female;1,663013699;YES;A_little;5;5;3;5;1;1;5;5;1;1;1;5;5;2;1;4;3;2;5;5;3;1;5;5;4;1;5;1;;1;;5;5;5;5;;1;4;4;2;1;4;1;;5;1;5;1;5;5;5;1;1;4;;;4;1;1;3;2;1;5;1;;1;1;1;5;5;5;;1;2;5;5;1;;5;1;4;1;1;4;5;5;1;5;1;;5;;4;1;4;1;1;2;1;1;1;1;1;4;3;5;5;4;1;1;5;1;;1;;5;;1;1;5;1;1;2;4;;5;;5;5;1;5;5;;4;3;4;;4;-0,81344705;0,168711565;1,363108247;0,718478458;0,661024914;-0,545538232;-0,033225036
13;Maine_Coon;Female;4,397991785;YES;A_little;5;4;2;2;2;4;5;4;4;1;1;2;4;5;2;5;2;4;2;5;2;2;5;4;4;1;;4;;2;;4;2;3;1;;1;4;5;4;1;4;1;2;4;4;4;2;2;4;2;4;2;2;2;5;2;4;2;4;2;2;4;4;;4;1;2;2;4;2;;2;1;1;4;2;2;4;1;1;1;2;3;3;;1;4;2;;2;;4;2;3;2;1;5;4;2;2;3;4;5;;3;4;2;2;4;4;4;;2;4;4;;1;3;5;1;5;5;2;;2;2;2;4;4;2;1;;4;4;4;;5;0,950252785;1,448570867;-1,195885804;-2,319385139;1,187324812;-0,126021364;1,295964776
14;British;Female;1,260273973;YES;No;5;2;2;4;2;2;5;4;1;1;1;5;4;1;2;4;2;2;5;4;3;1;4;5;4;1;5;2;;1;;5;4;4;5;3;1;5;4;2;1;5;1;1;4;1;5;1;4;4;4;4;;1;1;1;4;1;2;4;4;1;4;1;;3;1;1;2;5;5;;1;1;1;4;1;4;2;1;1;1;1;5;5;2;1;5;1;;5;;5;1;4;2;2;1;1;1;1;1;1;5;2;4;4;4;3;1;5;1;;1;2;4;;1;1;5;1;1;1;1;;1;1;4;5;2;3;4;;1;4;1;;3;-0,815998495;-0,147757887;0,008066601;0,864822336;-0,247267501;-0,788391884;-0,597263713
15;House_cat;Female;4,058050383;unknown;unknown;5;2;5;2;4;1;4;4;2;1;2;4;4;1;1;5;1;1;1;2;1;1;4;5;4;1;5;;1;5;;5;3;3;1;1;1;1;5;2;2;4;;1;1;1;4;4;1;2;2;;5;1;;;5;4;;4;2;1;2;;;;1;1;1;;;2;1;1;5;4;;;4;5;1;1;1;3;4;1;1;5;2;5;;5;2;1;4;;1;2;;1;1;1;1;4;5;4;4;4;1;1;;;;;1;5;;1;1;5;2;;4;3;;1;1;4;5;1;5;;;2;5;1;;3;-0,989438127;1,965397337;-1,522806718;0,262549761;-0,39769572;-0,280641181;-0,596799089
16;Maine_Coon;Female;12,42010561;YES;No;5;2;2;3;1;1;5;1;2;1;5;5;1;2;2;5;1;2;2;5;3;1;4;3;4;1;5;1;1;1;2;2;3;2;4;1;1;;1;1;1;3;1;;2;1;4;1;2;3;1;1;1;1;1;1;3;1;1;3;1;2;1;1;;1;1;1;2;5;5;4;1;1;1;3;1;5;5;1;1;1;1;3;4;1;1;5;2;;3;2;3;2;5;1;1;1;1;1;1;1;1;4;;5;5;2;1;1;4;2;2;1;1;4;;1;5;5;1;1;4;4;2;1;1;5;2;2;3;5;;2;4;2;;3;0,092423939;0,332494918;-1,782207974;-0,81218804;-0,568271152;-0,647136529;0,710227828
17;Oriental;Female;0,423497268;unknown;unknown;5;1;5;5;5;1;5;4;1;2;1;2;5;1;1;5;1;1;2;5;1;;4;5;5;1;5;1;1;1;5;5;5;5;;;1;1;5;2;1;5;;1;5;1;5;1;5;4;4;1;1;1;;;5;;1;4;1;1;5;1;1;;1;1;1;5;5;;1;5;1;5;1;;5;1;1;1;2;5;5;;1;5;2;5;5;5;5;1;5;1;2;4;1;1;1;1;1;5;1;2;2;4;1;1;5;1;1;1;2;5;;1;1;5;1;1;4;1;4;1;1;4;2;1;4;2;;5;5;1;5;5;-0,218860953;-0,796139547;0,600165153;0,524463322;-0,10911904;-0,092100967;-0,8083916
18;Burmese;Female;0,693989071;YES;Some;5;2;5;4;2;2;4;;4;1;2;;1;3;1;2;3;1;4;4;2;1;1;;4;1;4;2;;1;;4;5;5;;;1;4;3;5;4;4;1;;5;1;4;3;5;3;4;2;1;3;2;1;5;;3;3;2;1;4;2;;1;1;1;1;5;5;;1;4;2;3;3;;3;2;1;1;1;5;5;1;1;5;2;;4;;4;1;1;1;2;4;1;2;4;1;;;5;4;3;4;1;1;5;1;;1;4;5;;1;1;5;3;1;1;2;;1;1;5;5;1;5;3;;5;3;1;;3;-0,58019176;1,359971065;0,496228566;1,012421485;-0,495143613;-0,503131612;-0,261730995
19;Ocicat;Female;11,16495551;YES;A_little;5;5;3;5;4;1;5;4;2;1;1;3;4;1;1;4;1;4;5;5;2;4;5;4;4;1;3;4;;3;;4;4;5;4;;1;5;5;4;1;3;1;;5;4;5;1;3;5;4;1;1;1;;;4;;1;4;3;1;5;2;;4;1;1;1;4;5;;1;1;3;5;1;3;5;1;1;1;1;4;5;2;1;5;5;;4;;4;1;5;3;2;4;3;1;1;1;1;4;2;3;4;5;5;5;5;4;;1;5;5;1;3;1;4;1;5;2;5;;4;3;4;4;2;4;1;5;4;5;3;;3;-0,689788656;0,032784228;1,344294855;-0,124127945;0,255947758;0,25812816;0,074862167
21;Korat;Female;2,792607803;unknown;unknown;5;5;2;5;3;2;5;2;2;1;1;4;3;2;1;5;3;1;4;5;2;1;4;5;4;1;5;4;1;1;;4;5;5;3;2;1;4;4;2;1;4;2;2;5;1;5;1;5;5;4;1;1;4;;;2;2;1;4;4;1;5;1;;4;1;1;5;5;5;;1;3;1;5;1;5;5;1;2;1;2;5;5;2;2;5;2;;5;;5;1;3;2;2;4;2;1;2;1;1;5;2;3;3;4;3;1;5;1;;1;4;5;;1;1;5;1;2;4;2;;5;1;4;5;2;4;4;;2;2;1;;3;-0,251565734;-0,670354421;1,569518264;0,664231614;-0,245833128;0,212054028;-0,474702015
22;Siberian_and_Neva_Masquerade;Female;4,028461959;YES;No;4;1;4;2;2;4;2;1;3;1;1;2;1;4;1;1;4;1;5;2;1;1;4;4;4;1;;4;1;1;4;4;5;5;4;4;4;1;4;1;1;1;1;1;4;1;4;1;4;2;2;1;1;2;1;1;4;4;1;4;4;1;2;1;4;4;1;2;1;4;2;;1;1;1;4;1;;4;1;1;1;4;2;4;1;1;2;1;;2;4;1;1;4;4;1;2;4;1;1;1;1;4;2;1;2;4;4;1;2;1;1;1;1;4;;1;1;4;1;4;4;4;;2;1;2;4;5;4;2;;4;1;1;;3;1,468743824;-0,922258325;-0,755994681;-0,915543459;-1,426921507;-0,312432776;-0,376331722
23;Maine_Coon;Female;4,291970803;YES;A_little;4;2;5;2;1;1;4;1;1;1;1;1;1;4;4;2;3;1;2;4;3;1;4;5;3;1;2;4;;1;;2;2;5;1;;1;4;2;2;1;2;1;1;5;3;4;1;1;4;1;1;1;4;1;1;3;4;1;5;2;4;5;2;3;2;1;1;1;4;2;;1;1;1;1;1;;5;1;2;1;5;2;4;1;1;4;4;4;1;5;2;2;4;2;1;4;4;1;1;1;1;5;;1;1;4;1;3;2;2;;1;4;5;;1;1;4;1;1;2;5;;2;1;1;4;5;5;5;;5;1;1;;3;1,262858868;-0,731544655;-0,214243031;-1,821639951;-1,222808579;-0,784849921;1,622914505
24;Siamese_and_Balinese;Female;8,140249468;YES;No;5;5;5;4;3;4;2;1;5;1;1;1;1;5;4;5;4;4;4;4;4;1;5;4;5;1;2;1;1;1;1;4;4;5;1;1;4;5;4;1;1;2;1;1;5;1;5;1;4;4;2;1;1;4;;;2;5;1;5;1;1;5;1;1;1;1;4;4;5;5;;1;4;1;5;1;4;5;1;5;1;5;4;4;1;1;2;2;;5;5;4;1;5;1;1;4;1;1;1;1;1;5;4;2;2;4;4;2;5;1;;1;4;5;;1;1;5;1;4;4;4;;2;1;1;5;4;5;2;5;1;5;5;4;2;2,452621637;-0,570275806;-0,013820945;1,443067806;0,767324874;0,359864207;0,304749668
25;House_cat;Female;unknown;YES;A_little;5;1;1;5;1;;4;4;1;1;1;;1;2;1;5;1;4;1;3;;1;1;5;5;1;;;;;5;2;1;1;4;;1;5;5;5;1;5;1;1;4;1;1;1;1;4;1;1;1;1;;;;1;1;5;4;1;1;1;5;5;4;1;1;5;3;;1;1;;1;1;4;5;1;1;1;1;5;1;1;1;5;4;;1;1;5;5;5;1;1;1;1;1;1;1;;4;5;4;4;1;;1;3;1;1;1;1;5;;1;1;5;1;1;5;5;;1;1;4;;3;4;;;5;1;1;5;5;-0,524913659;-0,406466211;-3,064424508;-1,244499512;-0,237822921;-0,605077667;3,375166131
26;House_cat;Female;2,534246575;NO;A_little;5;2;2;4;2;;5;2;2;1;2;1;1;2;1;5;1;4;5;5;5;2;2;5;5;1;5;;;;;5;5;5;;;2;2;5;1;1;4;;1;5;1;5;2;5;4;1;1;;1;;;2;;4;4;4;1;5;;;;1;1;5;;;;1;1;;4;1;;5;1;1;1;3;2;5;1;1;5;1;;;;5;1;5;;1;4;;1;1;1;;5;1;4;5;5;4;;;;;1;4;5;;1;1;5;1;;4;1;;5;1;4;5;4;4;;;1;5;4;;;0,044896457;-0,46631857;1,015770283;-0,212361854;0,900958054;-0,62315138;-0,965962245
27;Ragdoll;Female;3,625410734;YES;Some;4;5;5;2;2;2;5;4;1;1;1;5;5;2;1;5;4;5;4;3;3;2;5;4;2;1;;;2;1;1;4;5;5;;2;2;4;5;4;1;5;1;;5;2;5;1;4;4;5;1;1;4;2;1;5;;1;5;2;2;5;1;2;2;2;1;2;4;3;;1;1;1;4;1;;5;1;1;1;2;4;5;4;1;3;3;;4;2;5;4;5;2;4;5;1;1;4;1;;5;4;4;5;3;2;2;3;1;4;1;5;4;;1;1;5;1;2;5;4;;2;3;4;5;2;4;4;;2;4;3;;4;-0,69204104;-0,564907827;0,87507013;-0,343568119;-0,060031928;-0,562390811;2,253933443
28;Korat;Female;1,561643836;YES;No;5;5;4;4;2;1;5;5;1;1;1;5;2;2;1;4;2;3;4;5;3;1;2;;4;1;5;1;;1;;4;4;5;1;;1;4;5;1;1;4;1;1;5;1;4;1;2;5;2;1;1;1;2;2;5;2;;2;1;1;5;1;;1;1;1;1;5;5;;;1;1;5;1;1;5;1;1;1;1;2;5;1;1;5;1;;5;;5;1;4;1;1;4;1;1;1;1;1;5;1;5;5;4;1;1;5;1;;1;5;4;;1;1;5;1;3;4;1;;5;1;5;5;1;5;4;;4;4;1;;4;-1,101649965;-0,728871519;0,082481398;0,671191224;0,124171665;-0,728642472;-0,592702754
30;Korat;Female;5,017335766;YES;No;5;5;4;4;3;5;5;2;2;1;3;;4;2;1;4;4;4;4;5;3;1;4;4;5;1;5;1;;1;;4;4;5;;;1;4;5;2;1;5;1;1;5;1;4;1;4;5;5;5;2;1;1;;2;;1;4;4;1;4;1;;1;1;1;3;5;5;;1;1;1;5;5;;5;3;1;1;3;5;5;2;1;4;1;;5;;5;1;5;1;1;5;3;1;1;1;1;5;2;3;2;5;1;2;4;1;;1;5;5;;1;4;5;1;3;4;2;;3;1;;5;4;5;3;;4;5;3;;4;0,838381616;1,270785061;0,993903418;0,218142852;0,338104477;-0,665024908;-0,462859881
31;Sacred_Birman;Female;2,501824818;unknown;unknown;4;2;1;5;1;2;5;4;1;1;1;4;5;1;1;1;1;1;4;4;2;1;1;5;4;1;5;2;1;4;5;5;5;5;4;3;1;1;5;1;1;1;1;5;2;1;5;5;4;2;1;5;1;2;1;1;1;1;1;5;5;1;5;1;3;;1;1;1;4;5;;1;1;1;4;4;;5;1;1;1;1;2;5;1;1;5;4;;5;5;2;1;5;1;1;2;4;1;1;1;2;5;2;4;4;4;1;1;4;1;;1;1;4;1;1;1;5;1;1;5;5;;1;1;5;5;4;2;2;2;2;5;1;5;3;-0,795981598;0,756422129;-0,220954965;0,484827418;-1,257593078;-1,261645117;-0,792849945
32;Somali;Female;1,814781022;YES;No;4;3;1;5;2;1;5;5;1;1;1;5;3;1;1;5;3;1;4;5;1;1;5;5;5;1;5;4;;1;;1;5;4;;;1;1;4;1;1;5;1;1;5;1;5;1;5;5;4;1;1;1;1;1;5;1;1;4;3;1;5;1;;1;1;1;5;5;4;;1;1;1;4;1;;5;1;1;1;1;1;5;1;4;5;5;;4;;4;1;5;1;1;4;1;1;1;1;1;4;;4;5;4;2;1;4;1;;1;3;5;5;1;1;5;1;1;1;5;;5;1;5;5;1;4;5;4;1;5;1;;3;-1,216683613;-0,884243827;0,872621143;0,187255445;-1,128107931;0,275430913;-0,785535694
33;Bengal;Female;4,649931538;unknown;unknown;4;5;5;5;4;1;5;5;4;1;1;5;5;2;1;4;1;5;5;5;2;1;2;5;5;1;5;1;1;1;1;5;4;5;5;1;2;4;5;1;1;5;1;1;5;1;5;1;5;5;4;1;;5;;;4;1;2;4;2;1;5;1;1;;1;2;1;;;;1;4;1;4;1;5;5;;2;1;1;4;5;4;1;5;5;;4;1;4;1;5;;1;2;1;1;2;1;1;5;2;5;5;4;1;;;;5;1;5;5;2;1;1;5;1;;5;5;;5;4;5;5;1;5;5;5;5;5;4;;;-0,966142555;-0,422962706;1,159638296;0,240630174;0,371073906;-0,079469078;-0,00588417
34;Abyssinian;Female;5,115472387;YES;No;5;2;4;5;3;1;5;2;1;1;1;3;2;1;4;5;4;4;4;5;1;1;2;5;4;1;5;3;1;5;3;5;4;5;;3;1;2;5;1;1;4;1;1;5;3;5;1;4;5;4;1;1;1;1;1;1;;1;4;4;1;5;2;;3;1;1;3;5;4;;1;2;1;5;1;;5;1;1;1;1;2;5;1;1;5;3;;5;2;4;1;5;2;1;3;2;1;4;1;1;4;4;4;5;5;5;2;2;1;;1;4;5;2;1;1;4;1;4;5;5;;5;1;5;5;2;5;3;4;4;5;2;;4;-0,629950599;-0,414112433;1,161839561;-0,112423947;-0,085402649;-0,391179225;-0,342119853
35;European;Female;3,036276523;YES;No;5;1;1;1;1;1;5;5;1;1;1;5;1;1;1;3;1;1;3;3;2;1;4;4;5;1;5;1;;1;;4;3;4;4;;1;1;5;1;1;5;1;1;4;1;4;1;1;4;2;1;1;1;1;1;4;1;1;5;1;1;5;1;;2;1;1;2;5;5;;1;1;1;3;1;5;5;1;1;1;1;1;4;1;1;5;1;;4;;5;1;5;1;1;3;1;1;1;1;1;;2;5;5;4;2;1;5;1;;1;3;4;;1;2;5;1;1;2;2;;4;1;5;5;1;2;5;;2;1;1;3;3;-0,965363018;-0,646627982;-1,062873837;0,304825954;-0,118359484;-0,754172312;-0,467373688
36;American_Curl;Female;0,803278689;YES;No;5;1;1;1;1;1;5;5;1;1;1;;4;1;1;4;1;;2;4;1;1;3;2;5;1;;1;;1;;5;5;4;;;1;2;4;1;1;1;1;;3;1;4;1;2;3;1;1;1;1;1;1;3;1;1;4;1;1;5;1;;2;1;1;2;5;4;;1;1;1;1;1;;5;1;1;1;1;4;5;1;1;5;1;;4;;1;1;4;4;1;5;1;1;4;1;;5;;5;5;5;;1;4;1;;1;4;5;;1;1;5;1;3;2;1;;2;1;5;5;1;2;;;2;3;1;2;5;-1,051072614;-0,71223705;-0,855246904;0,071111598;0,237704359;-0,993879393;-0,701383648
37;Landrace_Cat_Shorthair;Female;0,632876712;NO;A_little;5;4;1;5;1;1;5;4;2;1;4;1;2;4;1;2;4;4;5;5;2;1;2;;5;1;;;;1;5;5;5;5;;;1;5;5;4;1;5;;1;5;2;5;1;5;4;5;1;1;1;1;1;4;;4;4;4;1;5;;;;1;1;1;;;;3;4;;5;1;;5;1;1;1;2;5;5;3;1;5;1;;;5;5;1;4;;1;4;;1;4;1;1;5;1;5;4;5;3;2;;;1;1;5;4;1;1;1;5;1;;1;2;;1;1;5;1;4;2;;2;1;4;4;;;-0,254196254;-0,201356283;0,857083911;-0,209742222;0,978938257;-0,647335948;-0,40766928
38;Landrace_Cat_Shorthair;Female;1,219178082;YES;A_little;4;5;2;5;4;2;4;2;3;1;1;2;2;3;3;5;5;4;5;3;2;3;3;5;4;1;3;4;2;4;4;4;5;5;3;4;1;3;5;5;1;5;1;1;5;1;5;1;5;5;1;;;1;5;5;5;3;1;4;4;1;5;1;4;;1;1;1;5;5;;1;1;1;4;;;5;;1;1;4;5;5;1;1;5;5;;5;4;4;1;4;;3;3;1;1;1;1;3;5;4;3;2;5;;1;4;1;1;1;1;5;;1;1;5;1;1;3;5;;4;1;4;4;5;5;2;;5;5;2;5;3;0,648261907;-0,229335488;0,778421412;0,673176316;-0,953130405;-0,458361009;-0,699859776
39;House_cat;Female;1,225718194;unknown;unknown;3;4;4;5;5;1;2;1;3;4;1;;5;5;1;5;5;5;5;4;;1;3;;4;1;;4;;1;;5;4;5;;;1;4;5;5;1;3;1;1;3;3;4;1;5;4;3;1;1;5;5;1;;5;2;5;5;1;3;1;;;1;1;4;5;5;;1;5;1;5;2;;5;1;1;4;5;3;5;;1;5;3;;5;;5;2;4;1;3;5;3;1;5;1;;5;1;2;5;1;3;3;5;1;;1;4;5;;3;1;5;2;1;5;4;1;3;1;3;5;5;3;2;;4;5;1;;3;1,011310367;-0,298812111;0,354921858;1,25455109;0,25297805;2,667506141;0,327125432
